en,bho
"The project is primarily based at I.I.T, Kanpur in collaboration with CDAC, Noida.","प्रोजेक्ट प्राथमिक रूप से आई। आई। टी। कानपुर सी डैक नोयडा के सहयोग पर आधारित हवे, ।"
I saw the flowing water.,हम बहत पानी देखली।
"Father, do not do it, I beseech you!","पिताजी अइसन जानि करा, हम तुहसे बिनती करत हईं"
Savita cooked the food for Tina.,सविता टीना खातिर खाना बइनलस।
The rules forbid passengers to cross the railway line.,नियम मात्रगण के रेलवे लाईन क्रास करे से मना करेला ।
Udhaigrah!,उदयगढ़!
Can I read your newspaper ?,का हम तोहार अखबार पढ़ सकेलीं?
Nothing!,कुछ ना।
How many servants do work in your office?,तोहरे कर्यालय में केतना नौकर काम करलन।
Do you understand what I am saying ?,का तु समझल हम का कहनी ?
We will not drink tea.,हमहन के चाय ना पीयेके बा ।
I will feed the chickens today if you will feed the chickens tomorrow.,अगर तू बिहान चिकन खइऽब त हम आज चिकन खाइऽब।
The avaricious man is greedy of gain.,लालची आदमी फायदे क लालची हऽ।
Do me a favor.,हमार मदद करा।
He told me he likes those piano lessons you got him taking.,ऊ कहलँ की ऊ अपने ओके लेवअ गइलँ हमके बतवले रहल ऊ पियानो सबक प्रसन्न करति हव।
"Oh, you're so very sly; but, so am I.","ओह, तूँ त बहुत ठगी करत हवा, लेकिन त हम करत हईं।"
Your clothes are dirty.,तोहार कपड़ा गंदा हव।
You packed your bag.,तु आपन झोला भर ल ।
"Son, you have done a great favor by saving Kuljeet ` s life.",तु कुलजीत क जान बचा के हमपर बड़ा एहसान कईले बाड़ बेटा ।
It was the consequences of his carelessness.,ई उनकी लापरवाही के परिणाम रहे।
Have you seen that play?,का तु वो खेल के देख चुकल हउअ ?
Nobody knows where.,केहू नईखे जानत कहां ।
Who is the director of this film ?,ए फिल्म के निर्माता के हवे?
"Few days back, I had gone to Pune for Professor ` s conference, I met Prof.S.S. Chaudhary there.",पिछला दिने प्रो० के कान्फेन्स की खातिर हम पुना गईल रहली उहा हमार मुलाकात प्रो० ऽ.ऽ चौधरी से भईल ।
They are jogging.,उ सब टहलत हवें ।
Jasper...,जरूर तुहार मदद ना कइ सकत संभवत:
How many rooms are there in this school?,स्कूल में कगो ले कमरा बा?
The box kept with the flow of current and reached near the city of Bambhor.,बक्सा रखल गइ और धारा के बाभोर शहर के लगे पहुंच गइऽल।
The reason why I did it is obvious.,जवन वजह से इ हम कइलीं उ सही हऽ।
Will Rama have bought a pen?,का राम एगो कलम ख़रीदन हऽ?
I came early this morning.,हम भोर में अइलीं हऽ।
Please don't postpone the programme because of a handful of people.,मुठ्ठी भर लोगन के वजह से कार्यक्रम टली नाई।
"When I have refused once, no one will go.",हम एक बार मना क दिह्ली त केहु ना जाई
At last Salang Jung accepted the challenge.,आखिर में सालन जुंग ने चुनौती के मान लेहलन।
I have told you time after time not to do that.,हम तोहके समय समय पर कहलें हईं अइसन न करा।
They are having tea.,उ सब चाय पियत हवें ।
Take him away.,एके दूरे लेइ जा।
Our headmaster also spoke.,हमहन क हेडमास्टर साहब भी बोलले ।
This is the tallest building in the city.,ई शहर के सबसे ऊँचा ईमारत हवे।
"Don't underestimate them, Riley.",वे षोडस जेनिटी करा
When does Anup sing a song ?,अनुप कब गावे लन ?
This is the right time to make Indu yours completely.,इन्दू के आपन बनवले क ई सही समय हव।
"You must keep away from him, all of you. Everyone, stay back.","तोह सभके ओहसे दूर रहे के चाही। सब केहू, वापस आवा।"
How many libraries are in your college?,तोहरे कालेज में केतना पुस्तकालय हव?
I have been working for two hours.,हम दूई घंटा से काम करत हईं।
It is said that Alice is a good doctor.,ई कहल जाला की ऐलिस बहुते अच्छा डाक्टर हई।
A very willful boy.,एगो बहुत जिद्दी लइका।
What was the terrible deed done by the mariner?,नाविक काव सबसे बुरा कइलस।
Poor Byron.,बचारा बायरन!
The car started and we drove home.,कार चले प्रारम्भ भईल औरी हमसब घरे ।
"What car is faster, the red one or the blue one?","कवन गाड़ी तेज चलेले, लाल या नीली ?"
Brother also had to come today but there is no news of him yet.,भइया आजौ आवे के कहले रह ल मगर अब ले कौनो ख़बर नाइ बा।
"What's up, ratboy?",का हो रहल हव मुसमूहां
I couldn't talk to you because you were far away.,हम तोहसे बतियाई नाई पवलीं काहे से तू दूर रहल।
What happens to Mr. Lamb in the end?,आखिर में मिस्टर लैंब के साथ का भइल।
I am anxious about the result.,हम नतीजा खातिर उत्सुक हईं।
My being alone is a condition.,हमार अकेला होइब शर्त हऽ।
I wish I meet him again.,काश कि हम ओसे दोबारा मिलीं।
Who does not know the owl ?,के उल्लू के ना जानत ह ।
I needed more money.,हमके और पइसा क जरूरत हऽ।
Tell me what it is.,हमके बतावा इ का हऽ।
The fruit Durga brings you,ऊ जवन दुरुगा तुहके लाइके देत हव।
I need more money.,हमके ज्यादा पइसा चाही।
"Calm down, Mrs. Vaitkus.",", सरीमती वेटकस सान्त हो जा।"
Get them!,ओनके जाये दा!
What is she called as now?,अब ओके कहि के बोलावत हवॅ?
You don't want to do this.,तु अइसन कइ लना चाहत हवा।
"Having completed our flying training, we went to the next base.",उडान के प्रशिक्षण के बाद हमनि अगिला बेस पे चल गयलीं ।
Look for your bicycle.,आपन सइकील देखिला।
Your breakfast is ready.,तुहार नसता तइयार हव।
"Generally, the rich are more covetous to money than the poor.","सामान्यत, आमिर लोग पईसा के लेके गरीबन की अपेक्षा बहुते लोभी होला।"
I am always positive.,हम हमेशा पॉज़िटिव हई।
"Antonio, you look for the tires.","अनटोनिओ, तू टयर देखिहा।"
We could just float.,हम सिरिफ नाइ सकत हईं।
It is time we left.,ई समय हमनी के निकल गईल रहनी।
You think you're so smart.,तू इतना होसियार हव।
Do you live in a flat ?,का तु कमरा मे रहत बाडअ ?
Did someone punch you? - No.,कवनों तुहें पंचमरलय का?
The book belonged to me.,किताब के संबंध हमरा से रहे ।
"Got me out of the wood shop a month out of the year, and that was fine by me.","ई हमार लकड़ी क दुकान छोड़ा दिहलअ साल क एक महिन्ना, अउर ई हमरे खातिन ठीक रहल।"
A curse we incur.,एक झूठ दोस मिलल हव।
I am going home next Sunday.,हम अगले एतवार के जाइऽब।
"No dear! You go and eat, I am not at all hungry.","ना भइया, तु खा आवअ हमकेत एकदम भूख ना हअ, बिलकुल ना हऽ ।"
Understand?,समझें?
I ran fast.,हम तेज दौड़लीं ।
I have no advice to offer you.,हमरे लगे तोहरे खातिर कौनो प्रस्ताव नाई हऽ।
Shit.,छीह।
Did you go there?,का तु ओहवा गइल ?
Mary never thought John would criticize himself.,मैरी कबौ नाई सोचले रहऽल कि जॉन खुद कर बुराई करी।
Where is the book ?,किताब कहां ह ?
Was he paying the bill?,का उ बिल khelat रहने ?
Ram will sing that song.,राम इ गाना गाई।
You don't have to on my account.,हमरे ओर से ना
Will you go to London by plane?,का तु जहाजे से लन्दन जइब ?
I've been awake for a long time.,हमके जगले बहुत देर हो गइऽल।
Don't make it mine.,हम नाहीं। बइठक खतम।
They are feeding us with pakora.,ऊ लोग हमनी के पकोड़ा खियावत बा।
I played with my friend.,हम अपने दोस्तन के साथे खेलीऽल।
What is the big deal ?,कवन बहुत बड़ बात बा ।
Do come in.,अन्दर आव न ।
I won't tell.,हम ना बताइब
Lee did not leave.,ली नाई गइऽल।
I forgave him his fault.,हम ओकर गलती भुला देहली।
I have ordered five cups of tea.,हम पांच कप चाय मंगइले हईं।
I cannot make out his handwriting.,हम।
This infuriated Palino immediately sacked him and Maruee was betrothed to khetsen.,पेलिनो क क्रोधी ब्यबहार से उ निकार उठल और मैरूई के खेटसेन भेज देहल हऽ
Promise not to tell anyone !,केहु से मत कहिये प्रतिज्ञा कर !
Plesea show me a doll.,गुड़िया देखा व हमके।
The boys saw the play.,लइके खेल देखने ।
I know who you were assigned by.,हम आपके सउँपल गयल हईं जवन जानत हवँ।
It is said by all cadets in the village you are said to kiss their dog.,गाँव में सभे खेतिहर अइसन कहत रहलँ तू ओह कुतिया के घर चोरी से गयल रहला।
I know you've got more.,हमके पता हव तुहरे लगे अउर हवँ।
Large quantities of steam are used by the modern industry.,आधुनिक कारखानन में भाप के बहुत बड़हन मात्रा में उपयोग कईल जात बा।
I emptied the dishwasher.,हम डिशवॉशर खाली कई देहलीं।
I just want you to get some separation from him.,हम सिरिफ तोहसे कुछ अलग ओसे पावअ खातिन चाहत हईं।
Did you go to the Disney Land?,का तु डिजनी लैण्ड गइल ?
How did the rain change?,बरखा कइसे बदल गइल।
"I went little overboard when you came to my home, right?","हम तनी गुस्सा होइ गयल रहलीं जब तू हमरे घरे आयल रहला, हव ना?"
Are you going to play cards?,का तु ताश खेले जात रहल बाडअ ?
Actually Seth Jee! Very few people appreciate true talent in this world.,"का हऽ मालिक कदरदान लोग हवअ , और सच्चा कला क कदर करे वाला त ये दुनिया बहुते कम होता हऽ ।"
Can you get admission in this college?,का तहके एह विद्यालय में दाखिला मिल सकेला?
We live in town.,हमहन क शहर मे रहत हई जा ।
If you were a millionaire how would you spend your time ?,अमीर रहत त अपन समय के कैसे बितयीब ।
"Kim said he could have heard the news, but Lee said that he could not.","किम कहलस कि उ समाचार सुन सकलस, लेकिन ली कहलस कि उ ना सुन सकलस ।"
Let's see you dance! - Papa's little Pelle!,हमे देखावा की तू का कइ सकत हवा।
Ram did his homework and exercise.,राम आपन होमवर्क और अभ्यास कइ लेहले हऽ।
I know your heart isn't as strong as your body.,हम जानत हईं कि तोहार दिल तोहार सरीर जेतना कठोर ना हव।
I don't have any recollection of that at all.,हमके येकर तनिको इयाद ना हव।
"When he will call I don't know, but John will definitely call.",उ कब फोन करी हमके नाई पता लेकिन जॉन पक्का फोन करी।
As a statesman he saw far and wide.,राजनेता क नाते उ दूर तक और बड़हन देखेंले।
"Hey, John.",अरे जॉन।
"If you hit him, then he will hit you.","जदि तू ओके मारबा, फिनू उ मारी"
"I came, I saw, I conquered.","हम अइली, हम देखली हम जीतली।"
That’s what I call a good job.,का यह के हम अच्छा नौकरी कह सकेली।
Was everybody pleased ?,का सब लोग खुश रहे?
"Will you indeed, Mr. Torrance?","का तू सच में, सरी टॉरन्स?"
Ram saw Anil.,राम अनिल के देखलस।
I don’t have much time.,हमरे लगे ज्यादा समय नाई ऽब।
I mind my own business.,हम अपने काम से काम रखत हईं।
Your doing such a thing surprises me.,तोहार ई काम हमके आश्चर्य चकित करेला।
And I also believe that if things had gone on that way this place would have got the best of him.,अउर हमके ईहो लगत हव की अगर अइसहीं चलत रहत त ओकर सगरो खूबिअन खो जात।
I have never seen a tiger.,हम कभौ बाघ नाई देखले हईं।
How much would be one night tariff for this kind of room ?,एक रात खातिर इ कमरा के केतना भाड़ा लागी। ।
You did something.,तु कुछ कइल।
"Indu, listen to me.","इन्दू, हमार बात सुना।"
I also went with them.,हम उनके साथे गइल रहलीं।
The trees were blown down by the wind.,पेड़ निचे झुक गये हवा के कारण।
"You come to me everyday for an hour, so that I can help you a bit.",तु रोज एक घंटा खातिर हमरे पास आव ताकि हम तोहार सहायता कर सकी।
Jesus Christ.,ईसामसीह।
There was a pen on the table.,मेजे पर एगो कलम रहल।
"Do you feel avenged? - No, not really.",तू ओके सबक सिखाया की नाही?
Are you coming?,तू आवत हवा?
Do you have a television set ?,का तोहरे लगे टेलिफोनवा के सेट हउए ?
Where had you gone ?,तु कहाँ गयल रहला?
I want to get my clothes washed.,हमके धोवल नरखा चाहीं।
A limb moves independently from the rest of the body.,एक अंग हव ।
I don't know.,हम ना जानित।
Where have you taught?,तु कहवा पढा चुकल हउअ ?
He's been at my toy-box,ऊ हमरे खेलौना के डब्बा में आपन हाथ डारल ।
You will be late.,तोके देर होई।
[Horn Blast],(हार्न बिस्फोट)
"Yeah, I had hoped, when we left Sweden, that there would be... some money left over, enough to buy a little house.",हमें आसा रहल जब हम इहाँ अइनी...का कछु पइसा होइ एक छोटा सा घर खरीदें खातिर।
"It's a present, My momma gave it to me.","ई एगो मौजूद हव, हमार माई हमके दे दिहल।"
I like action movies.,हमके मारधाड़ वाला पिक्चर नीक लगऽल।
#I used to be king of the evening# #And I'm not ungenerous now# #The work is light but not easy#,"#अउर हम # अब उदार से अलगे ना हईं # हम संझा # के राजा होत रहलीं # कम परकास हव, लेकिन आसान ना #"
I did not know when the monsoon failed.,हम नाई जानऽत हई जब मानसून बेकार भइल।
A warrior the world salutes...,एगो जोधा दुनिया क सलामी
"Bella, let him...",बेला
May you live long.,जुग जुग जिया।
"Let's see what you've got under your jacket, Pelle.",तू का छिपा रहत हवा अपने जैकेट के
Ila saw Anil.,इला अनिल के देखली।
Shut up.,चुप रहा
It's you!,तू हवा!
What would be happening there ?,उहाँ का होत रहे?
They actually had to repel a few Indian attacks as they were building it.,ओके सच्चो में इमारत के निरमान के दउरान कुछ भरतीअ अकरमनन के दबावअ के पड़ल रहल।
"As you were out, I left a message.",जइसे तू बहरे रहल हम इगो संदेश छोड़नी।
Put it on the shelf above.,एके अलमारी के ऊपर रख द।
I have only 20 Rs.,हमरे लगे केवल 20 रुपया हऽ।
Nobody likes him much.,केहु भी ओके पसन्द ना करे ।
Ram likes Rama's staying at home.,राम के रामा क घर में पसंद करऽत।
The Act gave freedom to the negro slaves.,नीग्रो दासन के एक्ट स्वतंत्रता दिहलस ।
"If you don't stop spinning love tales,",अगर तू हमके ई परेम कहानिन सुनावल बन्न ना कइली।
Will he not come back soon?,का ऊ जल्दी वापस ना अयीहें?
Is primary education free in your state ?,का तोहरे राज्य मे प्राइमरी पढाई फ़्रि बा ?
Adcox!,एडकाक्स।
Some boy was screaming loudly.,कवनो लईका जोर से चिल्लात रहे ।
Did he see Tom yesterday ?,का ऊ कल टॉम के देखलन?
Yes. Okay.,हाँ ठीक हव
I have to be on diet.,हमके भुखल रहेक हऽ।
That's better!,ईहअ बेहतर हव।
"I ask you Nisha , if you had accepted the baby by being his Aunt , would the mothering become less.","हम तोहसे पुछत हई निशा, अगर तु मुन्ने को ओकर चाची बनके अपन वतु त का तोहार ममता कम हो जात ।"
Dont you know the way home? asked I.,हम पूछली का तू घर का रास्ता जानत हउवा।
Me beat you?,तुहरे नंगी त्वचा पर?
I am found of music.,हम संगीत क दीवाना हईं।
I am believed to lack money.,हम बिना पइसा में विश्वास करीऽल।
You gave a pen,तु कलम देहला।
Who gave you that knife ?,तोहके उ चाकु के देहलस?
A caretaker of Buffaloes is known as Mehar.,भैंइसी के रखवाला के मेहर नाम से जानल जाऽल।
I am so sad.,हम बहुत दुखी हईं।
"Outside, he's nothing.",बहरे उ कुछो भी ना हे।
He never shut up.,ऊ कबों चुप ना होत।
Rohan returned from Delhi yesterday.,रोशन कलिहां दिल्ली से लौट आइऽल।
No doctor! Please don ` t talk about dowry in front of me.,ना –ना वैद जी दहेज क त हमसे बात मत करी ।
It was lessons for beginners.,ई नया सीखे वाला लोग खातिर पाठ रहल हऽ।
Has he accepted your proposal?,का ऊ तोहरी प्रस्ताव के स्वीकार कर लेहनन?
How can you say each tree has a special mark on it?,तु कइसे कहि सकल कि हर पेडवा पे एक स्पेसल चिऩ भइल बा ?
It's a warrior! - Good!,एगो पहलवान!
Who do men declare me to be ?,लोग हमके का घोषित कइले हवें।
Ramesh went to Mysore through official works.,रमेश ऑफिशियल काम से मैसूर गइल
"’Sit down, boys', said the teacher.",गुरु जी कहल बइठ जा लइकन।
"Signe, dearest, don't cry.","सिग्ने, हमार पिरय तम रोवा।"
One is sure of what one sees.,उ जवन देखले हऽ ओके बारे में पक्का हऽ।
Everyone believes that he loves someone.,सबके लगऽल कि उ केहू से प्यार करऽल।
Online tutoring is available on weekends.,आनलाईन शिक्षक सप्ताहान्त में मिलिंह ।
But really don't make a sound.,लेकिन सच्ची में केहू अवाज मति करिहा।
She did not come to marry Késakichi.,इ केसाकिची से सादी करय खातिन नाहीं आयल हव।
"If it were cheaper, I would buy it.",सस्ता रहित त खरीद लेवल रहतिं ।
You're brilliant in battlefields...,तू लड़ाई के मैदान में बुधीमान हवा...
I need a dozen volunteers for a week's work.,हम एक हप्ता के काम खातिन एक दरजन सोयं सेवकन क जरूरत हव।
"That's fine for the papers, but I've got a family to feed.",ई समचार पत्तरन खातिन ठीक हव लेकिन हमके पलिवार पोसअ के हव।
Entry of heavy vehicles is prohibited.,भारी वाहन क आवेऽक मना हऽ।
Anu underwent treatment for more than a year.,अनु एक साल से ज्याद खातिर इलाज करयली ।
My word is my bond.,हमार शब्द हमार कसम हऽ।
"Your credit's fine, Mr. Torrance.","तुहार साख ठीक हव, सूरी टॉरन्स।"
Two are new.,दूठे नई हव ।
What make is it?,का बनल हवई?
Have you not been to the party?,का तु पार्टि मे नाइ होबअ ?
You folks could eat here for a year and never have the same menu twice.,बिना एगो मेनू दोहरवले तू लोगन इहवाँ एक बरिस ले खाई सकत हवा।
Sweet Jesus.,हे भगवान!
We won't need your help.,जेस्पर कहल जात हव के खातिन सहायक हवा आसा ना हव
How could I open this parcel?,इ पार्सल हम कइसे खोली।
How many confectioners are cooking good food?,केतना हलवाई अच्छा खाना बना रहल हऊवन ।
You must stick to your words.,तोहके अपने बात पर कायम रह के चाहि।
Even hundreds of births can't quench thirst of my love...,सायद सैकड़न जनम हमरे प्यारे के पिआस के ना बुझाई सकतॅ।
"Because the soup was too cold, I warmed it in the microwave.",काहे की सूप बहुत ठंडा रहल हम माइक्रोबेब मे यहके हम गरम कइनी ।
Photography by Subrata Mitra,फोटोगराफी सूबरत मितरा।
Fool!,मुरूख!
Bella...,"बेला, घास हव"
Oh? Can you move your ears? - Yeah.,कान हिला सकत हो?
Does she have many good books?,का उनकी लगे बहुते सारा अच्छा अच्छा किताब बा?
I got to get to the Overlook today.,आज हमके ओभरलुक पहुँचअ के हव।
Wait for me.,हमार इंतजार करा।
"Do you want tea, coffee, or espresso?","का तु चाय , काफी या एस्प्रेसो चाहत हउअ ?"
I said no sound.,"हम कहलीं, कवनों आवाज ना।"
Were my friends helping me?,का हमार मित्र सब हमार सहायता करत रहे?
This is Jill’s wallet.,ई जील के पर्स हवे।
We owe Mrs Mukherji five rupees,सरीमती मुखर्जी के पाँच रूपया देवे के हव
"All right, take it.","सब ठीक हव, ले ला।"
It was going against the wind.,ई हवा के विपरीत जात बाटे।
"Step aside, Mert.",बस।
"Yes, Shyamlal Jee! Fifty thousand rupees is not a big amount for a talented artist like your daughter, you can take it whenever you want.",हऽ श्यामलाल जी! अरे तोहार लईकी जझसर महान कला कार की खातिर पंचास ह० रु० का खीज वा तु जब चाहअ तवले सकेलअ
I am hungry.,हम भुखाइल हईं।
It's a nice day today but tomorrow looks like it may rain.,आज त अच्छा दिन ह् पर लागता कि कला बारिश हो सकेला ।
How does Maddie feel after listen to the note from Wanda’s father?,वांडा क पापा से बात सुने क बाद मैडी के कइसन लगऽत।
There's some work for you.,तुहार कुछ काम हव।
Ram smiled.,राम मुस्किया देहलस।
"Whatever little right I had upon you, you took that away.",तनी – मनी त अधिकार जवन हम आपन समझले रहली उ त छीन ही लिहलअ ।
I am not for this idea.,हम इ विचार खातिर नाई हई।
The next best thing to flying is gliding.,उडला से बढ़िया चीज तैरल हवे।
Why do you always pick at me ?,तु काहे हमेशा हमहि के मारत हउअ ?
Mary watched TV.,मैरी टीवी देखलस।
We have been waiting for his call since 4.20.,हमनि ओकर काल के 4।20 से इन्तेजार करत रहीं ।
The missus sent me to the store.,मालकिन ने हमें स्टोर भेजले रहनी।
Why did he go through this trouble to cut firehouses?,काहें ऊ आग घरन कटवती करे खातिन येह मोसीबत के माधम से जानल रहल?
It was so dark that we lost our way.,एतना अंधेरा बा कि हमहन आपन रास्ता भुल गईनी ।
Usha Kiran is not the tallest of all the buildings in the city.,शहर के सभी भवन में उषा किरण सबसे लम्बा न हऽ ।
"Being paralytic, he did not go.",अपंग भइले से उ जा नाई सकऽल।
How many humans have treated you well?,तु केतना अदमी के अपने दवाई से ठिक कइले हउअ ?
Get that pushcart out of the way!,राही से ठेला हटावा।
I can't wait a moment longer.,हम अब ज्यादा इंतजार नाई कई पाइऽब।
Who's Tony?,टोनी के हव?
What was the only sound that the sailors could hear?,कवन अईसन आवाज रहे जवन नाविक द्वारा सुनल जात रहे ?
But he is attempting to use that very talent against your will.,लेकिन ऊ येही परतिभा क उपयोग कइले क परआस करत हव...तुहरे हीछा के बिरोधे।
And one by one started striking the drum.,आ बारी बारी से सब द्रम बजवलस।
Puja Bhatt is my favorite actress and the name of my best friend is also Puja.,पूजा भटट हमार मनपसंन्द हिरीइन होय और हमरा अच्छी दोस्त क नाम भी पूजा हऽ ।
Sir are you Sindhi ?,"सर, तू सिंधी हउवा।"
There is no hot water in bathroom.,नहाए वाले घर में गरम पानी नाई ब।
It's Brooks.,ई बरुकस हव।
Things were... a lot less complicated.,बात कम जटिल रहल
And I know you feel something for me. I can sense how I make you feel...,अउर हम तू हमरे खातिन ओस जिस कुछ पता हव
Honey can be tasted sweet by us.,हनी हमहन की द्वारा मिठाई क सवाद चखल जा सकत हऽ ।
Why didn't you ask?,तू पुछली काहे ना?
Let's go!,चला चलत हईं!
Can monuments be seen during night ?,का रात के समय में स्मारक के देखल जा सकेला?
"How can I bring her just like that. There are lots of work at a farmer ` s house, she is busy in her household, she is happy, what else do we need?",घर गृहस्थी मे रमल वा खुश होय और का चाहि हमके ।
Can you hear me now?,का तु अब हमके सुन सकलअ ?
I have everything except money.,हमरे लगे पइसा छोड़ के सबकुछ हऽ।
I will talk to my son respecting his conduct.,अपने लइका से हम ओकरे व्यवहार के बारे में बात करब।
But Mohini is the only girl among those lakhs of girls who helped you to save my honour.,"पर उन लाख मे से मोहिनी एकेह , जवन हमरा इज्जत वचावे खातिर तोहार सहायता कइले रहे ।"
I am not buying bread.,हम ब्रेड नाई खरीदऽत हईं।
"Honor guard, dismissed!","सम्मान करहा, के खारिज कइ दिहलँ।"
"Hey, that's your old man up there, Brian.",अरे की उहँवा वरायन आपन पुरान अदमी हव।
It is silly to meet trouble half-way.,आधा राह में मुश्किल से मिलब बेवकूफी हऽ।
"I know you can protect her. But you can give her a life, a human life. It's all I want for her.",हमें पता हव आप जीवन की रक्षा कइ सकत हव लेकिन उ अपने मानव देवे के तइयार कइल गयल रहल
But it don't cut slack here as far as I'm concerned.,लेकिन ई जहवाँ ले हम चिन्तित हईं इहवाँ सुस्त काट ना हव।
How is an Ombudsman chosen in Sweden?,स्वीडन में लोकपाल कइसे चुनल गइल हऽ।
I want to see you playing with the ball.,हम तोहके गेना के साथे खेल देखेऽक चाहत हई।
I won tickets by calling the radio station.,हम रेडियो स्टेशन की तरफ से टिकट जीतलीं।
Open here.,इहां खोलअ।
Whose babies did you think they were?,तोहरे समझ से ओहवा केकर लइके रहने ?
Uncle Sam!,अंकल सैम!
You waited outside.,तु बहरे इन्तजार कइ ल।
Where was your brother ?,तोहार बाई कहाँ रहल?
Won't you get me an auto also?,तू हमरे खातिर एगो आटो भी ना करबा?
The lady living next door throws numerous parties.,पडोस के महिला खूब पार्टी देवता रहे ली ।
"Thank you, Santos.",", सेंटोस धन्नबाद।"
It was fucking great!,ये महान कमबखत रहलँ
Ravi wears white clothes.,रवि उज्जर कपड़ा पहिरऽल
Are you participating in that play ?,का तु ओह खेल मे शामिल रहल हउअ ?
Is he to go ?,का उ जात हाउए ?
I can teach.,हम तोहके पढ़ा सकी ल।
My name is Dick Hallorann.,नमत्ते हमार नाँब डिक हलोरन हव।
Ram married Sita.,राम क सीता से बियाह कइले हऽ।
A load of great weight.,बड़ा भारी बोझ हऽ।
Are you Sindhis ?,का तु सिन्धी हवा?
It doesn’t matter,कवनो बात न हऽ ।
I had the most terrible nightmare I ever had.,हम एगो...भयानक खराब (बाउर)
It's funny.,ये हास्यास्पद हव।
What does this madam want?,ई मैडम का चाहत रहली?
"Come, sit on the cot.","आव, काट पे बईठ ।"
The elephant that was sick died.,हाथी जवन बीमार रहे उ मर गईल।
I shall be twenty next Saturday.,हम अगले 20 तक आइब।
Please look into the matter carefully.,बहुत ध्यान से देखा मामला।
Dear God! Please make my father happy and give him so much that he doesn ` t miss me much.,"प्रिय भगवन, प्लीज, आप पापा के खुश रजअ और एतना दे दअ कि उ मोके ज्यादा मिस न करे"
There must be other jobs in the town,सहर में अउरो काम होई।
Prices start from $1.,दाम शुरु होला डालर 1 से ।
This demand amounts to outrage.,ई मांग अत्याचार के बराबर बा।
Can you refuse my proposal?,का तु हमार सुझाव मना कइ सकल ?
I don't quite like my children going away from home.,लइके घरे से दूर जाए इ हमके नीक नाइ लगऽल।
I had lunch on the train.,हम ट्रेने में खा लेहलीं।
Why are you asking ?,तु काहे पुछत रहल हउअ ?
I will not forget it.,हम इ नाई भुलाइऽब।
You must still do it.,तु अभइन इहे कइल चाहत हउअ।
He refuses to work whatever I may say.,जवन हम कहे वाला रहलीं उ कइले से इनकार कई देहलस।
Sheila has to go to Bombay.,शीला के बंबई जाएकेबा।
How high is Rajabai Tower?,राजाबाई टावर केतना ऊंच हऽ।
Who drew the first prize ?,पहला पुरस्कार के लिअईलस?
Who were they ?,ऊ के रहे।
He's your maternal uncle Pratap Varma.,ई तोहार मामा परताप बरमा हवँ।
Why don't we have a seat and talk it over.,"हम बइठ काहें ना जइतीं, अउर बिस्तार में बात करतीं।"
"Hey, Hanna.","अरे, हैना"
"You'll get yourselves killed, noway.",कइले हव रहल पूछय खातिन ना की अनुमति
Well...,ठीक हव तू....
"I made them just the way you like them, sunny-side up.",हम ओके ओइसहीं बनवलीं जइसन तुहके पसन्न हव धूप वाला सईड उप्पर।
You're right.,सही में।
Here.,इहवाँ
What is it?,का भयल?
That's an intriguing idea.,इ एक दिलचस्प बिचार हव
You had been repairing the car.,तु करवा के मरम्त कइ चुकल रहल हऽ ।
Sheela has only one servant.,शीला किहां खाली एकठो नौकर बा।
Shall I prepare tea ?,का हम चाय बनाई?
Have you visited Sindhunagar ?,का तु सिन्धुनगर देख भइल हउअ ?
What would you have ?,तोहके का चाहि ?
I know what you told him.,हम जानीऽल तू ओके का कहऽल।
Don't stand and laugh.,खड़ा रहिके अउर हँसी न करॅ।
My eyes are stinging,हमार अंखिया पिरात हऽ।
"I know who will win, Prime Minister.","हम जानत हईं कि के जीती, परधानमंतरी"
It’s a pleasure to meet you.,इ तोहरे मिलले के खुशी हऽ।
No hard feelings.,कवनो खराब बेचार नाहीं बरुक्स।
I have not heard anything from Ravi for ages.,हम रवि से किनारे क लेके कुछ नाई सुनले हईं।
They rejoice that they are going.,ऊ लोग गईला के ख़ुशी मना रहल बा। ।
Stop asking.,अब पूछल बन्द करा
"If you heat water, it boils.",पानी के गरम करिह हऽ उ उबल जायी ।
Why do you talk like this? Tell me what is the matter? If a brother won ` t help a sister or a sister won ` t help a brother then who will help them?,"कईसन बात करत हऊ , भाई बहन के और बहीन भाई के काम ना आई त कौन आई बताव कवन काम हऽ ।"
I'd give my goddamn soul for just a glass of beer.,हम परनवो दे देब...सिरिफ एक गिलास बीअर खातिन।
"Hurry with the twigs, this wood is too damp to light","टहनिअन हाली ले आवा, लकड़ी एतनी गील हव की जलत ना हव।"
The Right in british politics is represented by the conservative party.,ब्रिटेन राजनीति में राइट कंजर्वेटिव पार्टी क तरफ हऽ।
Do you have the slightest idea what a moral and ethical principal is?,का तुहरे में थोरिको बिचार हव कि निअतिक अउर सिसटाचारीक नीयत हव?
Run away?,भाग रहल हवँ पेले।
I was offered a chair.,हमके कुर्सी देहल रहऽल।
"I will recover it, or die in the attempt.",हम एके पा लेऽब या कोशिश करत मर जाइऽब।
He took my silver paper,ऊ हमार चानी क कागज ले लिहलअ ।
Do you play cricket?,का तु क्रिकेट खेल सकल ?
The weather there is very pleasant these days.,इहां के मौसम आज कल बहुत ही अच्छा बा।
"Help, somebody!","मदद, केहू के!"
